ElapsedTime,BatteryVoltage,SOC,InSun
0.00,23.28,0.20,1
10.00,23.28,0.20,1
20.00,23.28,0.20,1
30.00,23.28,0.20,1
40.00,23.29,0.20,1
50.00,23.29,0.20,1
60.00,23.29,0.20,1
70.00,23.29,0.20,1
80.00,23.29,0.20,1
90.00,23.29,0.21,1
100.00,23.29,0.21,1
110.00,23.29,0.21,1
120.00,23.30,0.21,1
130.00,23.30,0.21,1
140.00,23.30,0.21,1
150.00,23.30,0.21,1
160.00,23.30,0.21,1
170.00,23.30,0.21,1
180.00,23.30,0.21,1
190.00,23.30,0.21,1
200.00,23.31,0.21,1
210.00,23.31,0.21,1
220.00,23.31,0.21,1
230.00,23.31,0.21,1
240.00,23.31,0.21,1
250.00,23.31,0.21,1
260.00,23.31,0.21,1
270.00,23.31,0.21,1
280.00,23.31,0.21,1
290.00,23.30,0.21,1
300.00,23.30,0.21,1
310.00,23.30,0.21,1
320.00,23.30,0.21,1
330.00,23.30,0.21,1
340.00,23.30,0.21,1
350.00,23.30,0.21,1
360.00,23.30,0.21,1
370.00,23.30,0.21,1
380.00,23.29,0.21,1
390.00,23.29,0.21,1
400.00,23.29,0.20,1
410.00,23.29,0.20,1
420.00,23.29,0.20,1
430.00,23.29,0.20,1
440.00,23.29,0.20,1
450.00,23.28,0.20,1
460.00,23.28,0.20,1
470.00,23.28,0.20,1
480.00,23.28,0.20,1
490.00,23.28,0.20,1
500.00,23.28,0.20,1
510.00,23.28,0.20,1
520.00,23.27,0.20,1
530.00,23.27,0.20,1
540.00,23.27,0.20,1
550.00,23.27,0.20,1
560.00,23.27,0.20,1
570.00,23.27,0.20,1
580.00,23.27,0.19,1
590.00,23.27,0.19,1
600.00,23.27,0.19,1
610.00,23.26,0.19,1
620.00,23.26,0.19,1
630.00,23.26,0.19,1
640.00,23.26,0.19,1
650.00,23.26,0.19,1
660.00,23.26,0.19,1
670.00,23.26,0.19,1
680.00,23.25,0.19,1
690.00,23.25,0.19,1
700.00,23.25,0.19,1
710.00,23.25,0.19,1
720.00,23.25,0.19,1
730.00,23.25,0.19,1
740.00,23.25,0.19,1
750.00,23.25,0.19,1
760.00,23.24,0.19,1
770.00,23.24,0.18,1
780.00,23.24,0.18,1
790.00,23.24,0.18,1
800.00,23.24,0.18,1
810.00,23.24,0.18,1
820.00,23.24,0.18,1
830.00,23.23,0.18,1
840.00,23.23,0.18,1
850.00,23.23,0.18,1
860.00,23.23,0.18,1
870.00,23.23,0.18,1
880.00,23.23,0.18,1
890.00,23.23,0.18,1
900.00,23.23,0.18,1
910.00,23.22,0.18,1
920.00,23.22,0.18,1
930.00,23.22,0.18,1
940.00,23.22,0.18,1
950.00,23.22,0.17,1
960.00,23.22,0.17,1
970.00,23.22,0.17,1
980.00,23.21,0.17,1
990.00,23.21,0.17,1
1000.00,23.21,0.17,1
1010.00,23.21,0.17,1
1020.00,23.21,0.17,1
1030.00,23.21,0.17,1
1040.00,23.21,0.17,1
1050.00,23.21,0.17,1
1060.00,23.20,0.17,1
1070.00,23.20,0.17,1
1080.00,23.20,0.17,1
1090.00,23.20,0.17,1
1100.00,23.20,0.17,1
1110.00,23.20,0.17,1
1120.00,23.20,0.17,1
1130.00,23.20,0.16,1
1140.00,23.19,0.16,1
1150.00,23.19,0.16,1
1160.00,23.19,0.16,1
1170.00,23.19,0.16,1
1180.00,23.19,0.16,1
1190.00,23.19,0.16,1
1200.00,23.19,0.16,1
1210.00,23.18,0.16,1
1220.00,23.18,0.16,1
1230.00,23.18,0.16,1
1240.00,23.18,0.16,1
1250.00,23.18,0.16,1
1260.00,23.18,0.16,1
1270.00,23.18,0.16,1
1280.00,23.18,0.16,1
1290.00,23.17,0.16,1
1300.00,23.17,0.16,1
1310.00,23.17,0.16,1
1320.00,23.17,0.15,1
1330.00,23.17,0.15,1
1340.00,23.17,0.15,1
1350.00,23.17,0.15,1
1360.00,23.16,0.15,1
1370.00,23.16,0.15,1
1380.00,23.16,0.15,1
1390.00,23.16,0.15,1
1400.00,23.16,0.15,1
1410.00,23.16,0.15,1
1420.00,23.16,0.15,1
1430.00,23.16,0.15,1
1440.00,23.16,0.15,1
1450.00,23.15,0.15,1
1460.00,23.15,0.15,1
1470.00,23.15,0.15,1
1480.00,23.15,0.15,1
1490.00,23.15,0.15,1
1500.00,23.15,0.14,1
1510.00,23.15,0.14,1
1520.00,23.14,0.14,1
1530.00,23.14,0.14,1
1540.00,23.14,0.14,1
1550.00,23.14,0.14,1
1560.00,23.14,0.14,1
1570.00,23.14,0.14,1
1580.00,23.14,0.14,1
1590.00,23.14,0.14,1
1600.00,23.13,0.14,1
1610.00,23.13,0.14,1
1620.00,23.13,0.14,1
1630.00,23.13,0.14,1
1640.00,23.13,0.14,1
1650.00,23.13,0.14,1
1660.00,23.13,0.14,1
1670.00,23.12,0.14,1
1680.00,23.12,0.13,1
1690.00,23.12,0.13,1
1700.00,23.12,0.13,1
1710.00,23.12,0.13,1
1720.00,23.12,0.13,1
1730.00,23.12,0.13,1
1740.00,23.12,0.13,1
1750.00,23.11,0.13,1
1760.00,23.11,0.13,1
1770.00,23.11,0.13,1
1780.00,23.11,0.13,1
1790.00,23.11,0.13,1
1800.00,23.11,0.13,1
1810.00,23.11,0.13,1
1820.00,23.11,0.13,1
1830.00,23.10,0.13,1
1840.00,23.10,0.13,1
1850.00,23.10,0.13,1
1860.00,23.10,0.13,1
1870.00,23.10,0.12,1
1880.00,23.10,0.12,1
1890.00,23.10,0.12,1
1900.00,23.09,0.12,1
1910.00,23.09,0.12,1
1920.00,23.09,0.12,1
1930.00,23.09,0.12,1
1940.00,23.09,0.12,1
1950.00,23.09,0.12,1
1960.00,23.09,0.12,1
1970.00,23.09,0.12,1
1980.00,23.08,0.12,1
1990.00,23.08,0.12,1
2000.00,23.08,0.12,1
2010.00,23.08,0.12,1
2020.00,23.08,0.12,1
2030.00,23.08,0.12,1
2040.00,23.08,0.12,1
2050.00,23.07,0.11,1
2060.00,23.07,0.11,1
2070.00,23.07,0.11,1
2080.00,23.07,0.11,1
2090.00,23.07,0.11,1
2100.00,23.07,0.11,1
2110.00,23.07,0.11,1
2120.00,23.07,0.11,1
2130.00,23.06,0.11,1
2140.00,23.06,0.11,1
2150.00,23.06,0.11,1
2160.00,23.06,0.11,1
2170.00,23.06,0.11,1
2180.00,23.06,0.11,1
2190.00,23.06,0.11,1
2200.00,23.05,0.11,1
2210.00,23.05,0.11,1
2220.00,23.05,0.11,1
2230.00,23.05,0.10,1
2240.00,23.05,0.10,1
2250.00,23.05,0.10,1
2260.00,23.05,0.10,1
2270.00,23.05,0.10,1
2280.00,23.05,0.10,1
2290.00,23.04,0.10,1